"","Name","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"193","Ben Gamel",3000,-0.626,0.773,-0.636,-0.639,0.77,-3.231,2.057,5.288,0.153,-0.088,0.014
"194","Jose Fernandez",3000,-0.335,0.66,-0.347,-0.344,0.667,-2.499,2.389,4.887,0.153,0.119,0.012
"195","Ian Happ",3000,0.166,0.905,0.151,0.153,0.889,-2.574,3.48,6.053,0.153,0.083,0.017
"196","Jose Osuna",3000,-0.676,0.611,-0.682,-0.684,0.612,-2.67,2.306,4.976,0.153,0.208,0.011
"197","Nicky Delmonico",3000,-0.276,0.816,-0.307,-0.289,0.8,-3.031,3.441,6.472,0.153,0.083,0.015
"198","Adam Rosales",3000,-0.954,0.728,-0.965,-0.965,0.706,-3.492,1.715,5.207,0.153,0.054,0.013
"199","Ryan Rua",3000,-1.05,0.632,-1.061,-1.059,0.635,-2.925,1.161,4.086,0.153,-0.017,0.012
"200","Matt Chapman",3000,-0.394,0.73,-0.416,-0.404,0.714,-2.695,2.231,4.926,0.152,0.032,0.013
"201","Martin Prado",3000,-0.571,0.622,-0.582,-0.579,0.61,-2.601,1.89,4.491,0.152,0.06,0.011
"202","Jesus Sucre",3000,-0.304,0.72,-0.318,-0.312,0.718,-2.631,2.879,5.51,0.152,0.07,0.013
"203","Luis Urias",3000,-0.306,0.673,-0.331,-0.314,0.676,-2.382,2.123,4.505,0.151,0.052,0.012
"204","Mookie Betts",3000,-0.008,0.841,-0.037,-0.02,0.844,-2.743,2.874,5.618,0.15,-0.1,0.015
"205","Yandy Diaz",3000,-0.808,0.589,-0.827,-0.816,0.576,-2.746,1.559,4.304,0.15,0.181,0.011
"206","Miguel Andujar",3000,0.107,0.724,0.096,0.096,0.717,-2.234,2.818,5.052,0.15,0.069,0.013
"207","Ryan Zimmerman",3000,0.342,1.043,0.31,0.327,1.023,-3.043,4.454,7.497,0.15,0.151,0.019
"208","John Andreoli",3000,-0.385,0.658,-0.4,-0.395,0.639,-2.432,2.061,4.493,0.15,0.092,0.012
"209","Enrique Hernandez",3000,-0.273,0.766,-0.299,-0.282,0.779,-3.257,2.737,5.994,0.149,0.16,0.014
"210","Alcides Escobar",3000,-1.196,1.03,-1.209,-1.211,1.034,-4.248,2.354,6.602,0.149,0.097,0.019
"211","Brian Dozier",3000,4.175,1.439,4.128,4.152,1.441,-0.551,8.923,9.474,0.149,-0.099,0.026
"212","Charlie Tilson",3000,-0.42,0.585,-0.443,-0.429,0.575,-2.393,2.171,4.564,0.148,0.145,0.011
"213","Cody Bellinger",3000,1.786,1.114,1.756,1.77,1.107,-1.524,6.348,7.872,0.148,-0.001,0.02
"214","Alex Verdugo",3000,-0.675,0.541,-0.694,-0.683,0.56,-2.528,1.304,3.832,0.148,-0.143,0.01
"215","Bryce Harper",3000,3.253,1.207,3.242,3.237,1.189,-0.916,7.903,8.819,0.148,0.174,0.022
"216","Jonathan Davis",3000,-0.394,0.672,-0.406,-0.403,0.664,-2.532,2.131,4.663,0.148,0.017,0.012
"217","Steve Pearce",3000,0.127,0.805,0.095,0.118,0.792,-2.699,3.268,5.967,0.147,-0.004,0.015
"218","Omar Narvaez",3000,-0.621,0.698,-0.631,-0.63,0.693,-3.031,2.087,5.118,0.147,0.018,0.013
"219","Lucas Duda",3000,0.736,0.971,0.694,0.724,0.959,-2.142,4.384,6.526,0.147,0.049,0.018
"220","Ozzie Albies",3000,-0.581,0.742,-0.587,-0.59,0.74,-2.802,2.135,4.936,0.146,-0.001,0.014
"221","Daniel Descalso",3000,-0.61,0.775,-0.635,-0.62,0.747,-3.11,2.256,5.366,0.146,-0.002,0.014
"222","Brett Gardner",3000,-0.14,1.127,-0.179,-0.155,1.092,-4.215,4.616,8.832,0.146,0.21,0.021
"223","Joey Gallo",3000,0.39,1.05,0.381,0.375,1.054,-3.266,4.851,8.117,0.146,0.065,0.019
"224","Chris Davis",3000,2.488,1.231,2.437,2.466,1.262,-1.926,6.76,8.686,0.146,-0.064,0.022
"225","Wilson Ramos",3000,-0.581,0.739,-0.615,-0.593,0.73,-3.126,2.154,5.28,0.145,0.035,0.013
"226","Eduardo Nunez",3000,-0.44,0.978,-0.457,-0.454,0.957,-3.327,3.437,6.765,0.145,-0.012,0.018
"227","Danny Valencia",3000,-0.25,0.938,-0.282,-0.263,0.918,-2.972,3.253,6.225,0.145,-0.009,0.017
"228","Joey Rickard",3000,-0.948,0.758,-0.967,-0.956,0.723,-3.542,2.031,5.573,0.145,0.232,0.014
"229","Carlos Gomez",3000,-0.202,1.039,-0.235,-0.216,0.999,-3.954,4.454,8.409,0.145,0.33,0.019
"230","Gregorio Petit",3000,-0.991,0.566,-1.001,-0.998,0.544,-2.948,1.84,4.788,0.144,0.304,0.01
"231","Randal Grichuk",3000,0.101,0.887,0.079,0.085,0.861,-2.789,3.35,6.139,0.144,0.134,0.016
"232","Eric Young Jr.",3000,-0.903,0.494,-0.921,-0.91,0.489,-2.785,0.852,3.637,0.144,-0.027,0.009
"233","Paulo Orlando",3000,-0.642,0.581,-0.658,-0.65,0.565,-2.399,1.473,3.873,0.144,-0.018,0.011
"234","Shane Robinson",3000,-0.618,0.493,-0.623,-0.624,0.479,-1.973,1.172,3.145,0.144,-0.045,0.009
"235","Ryan O'Hearn",3000,-0.433,0.655,-0.467,-0.441,0.639,-2.526,2.16,4.686,0.143,0.071,0.012
"236","Roman Quinn",3000,-0.679,0.694,-0.689,-0.686,0.675,-2.925,2.034,4.959,0.143,0.176,0.013
"237","Chris Taylor",3000,-0.498,0.866,-0.513,-0.509,0.836,-3.15,2.505,5.655,0.143,0.056,0.016
"238","Billy McKinney",3000,-0.397,0.671,-0.412,-0.407,0.684,-2.567,1.916,4.483,0.143,-0.102,0.012
"239","Brad Miller",3000,-0.439,0.908,-0.461,-0.45,0.895,-3.108,3.129,6.237,0.143,0.01,0.017
"240","Cam Gallagher",3000,-0.715,0.515,-0.731,-0.723,0.527,-2.199,1.142,3.341,0.143,-0.174,0.009
"241","Chase Headley",3000,1.945,1.275,1.904,1.926,1.27,-1.92,6.518,8.438,0.143,-0.077,0.023
"242","Michael Perez",3000,-0.32,0.651,-0.34,-0.326,0.665,-2.297,2.493,4.79,0.142,0.035,0.012
"243","Adalberto Mondesi",3000,-0.967,0.58,-0.98,-0.975,0.58,-2.711,1.383,4.095,0.142,-0.002,0.011
"244","Ender Inciarte",3000,-0.114,1.04,-0.139,-0.129,1.007,-3.308,4.177,7.485,0.142,0.018,0.019
"245","Eric Hosmer",3000,1.761,1.172,1.748,1.745,1.183,-2.007,6.018,8.024,0.141,-0.102,0.021
"246","Hunter Renfroe",3000,0.958,0.985,0.921,0.944,0.991,-2.621,4.45,7.071,0.141,-0.037,0.018
"247","Christian Walker",3000,-0.509,0.728,-0.528,-0.518,0.728,-2.674,2.162,4.836,0.141,-0.053,0.013
"248","Kaleb Cowart",3000,-0.88,0.551,-0.888,-0.887,0.549,-2.825,1.179,4.004,0.141,0.076,0.01
"249","Starling Marte",3000,-0.319,0.879,-0.339,-0.332,0.881,-3.29,2.878,6.168,0.14,0.09,0.016
"250","Brandon Nimmo",3000,-0.217,0.723,-0.225,-0.225,0.725,-2.808,2.995,5.804,0.14,0.153,0.013
"251","Peter Bourjos",3000,-1.125,0.767,-1.141,-1.135,0.759,-3.503,1.666,5.169,0.14,0.008,0.014
"252","Yonder Alonso",3000,0.092,0.987,0.051,0.078,0.964,-3.064,3.98,7.045,0.139,0.173,0.018
"253","Luis Sardinas",3000,-0.748,0.494,-0.758,-0.754,0.482,-2.442,1.2,3.642,0.139,0.113,0.009
"254","Christian Yelich",3000,1.734,1.224,1.698,1.719,1.2,-2.427,5.685,8.113,0.138,0.049,0.022
"255","Justin Upton",3000,0.992,1.085,0.975,0.978,1.099,-2.358,5.341,7.699,0.138,-0.015,0.02
"256","Tucker Barnhart",3000,-0.664,0.834,-0.671,-0.674,0.821,-3.329,2.254,5.584,0.138,0.074,0.015
"257","Albert Pujols",3000,0.169,1.015,0.128,0.154,1.014,-3.025,3.377,6.402,0.138,-0.078,0.019
"258","Anthony Santander",3000,-0.49,0.59,-0.502,-0.497,0.588,-2.514,1.976,4.489,0.138,-0.003,0.011
"259","Jose Peraza",3000,-1.141,0.832,-1.148,-1.149,0.81,-3.785,2.185,5.97,0.137,0.226,0.015
"260","Domingo Santana",3000,0.788,1.054,0.774,0.774,1.068,-2.922,4.882,7.805,0.137,-0.029,0.019
"261","Denard Span",3000,0.042,0.975,0.011,0.025,0.952,-3.179,3.44,6.619,0.137,0.138,0.018
"262","Erik Kratz",3000,1.881,1.07,1.863,1.869,1.06,-1.494,6.011,7.505,0.137,0.068,0.02
"263","Logan Forsythe",3000,-0.559,0.852,-0.577,-0.569,0.859,-3.424,3.419,6.843,0.137,0.02,0.016
"264","Josh Phegley",3000,-0.565,0.608,-0.574,-0.571,0.602,-2.517,1.599,4.116,0.137,0.047,0.011
"265","Joe Mauer",3000,0.116,1.065,0.071,0.101,1.032,-3.418,3.934,7.353,0.136,-0.006,0.019
"266","Ryan Braun",3000,0.246,0.982,0.198,0.236,0.969,-2.744,3.906,6.65,0.136,0.024,0.018
"267","Tomas Telis",3000,-0.603,0.589,-0.605,-0.61,0.596,-2.624,1.853,4.477,0.136,0.128,0.011
"268","Brandon Guyer",3000,-0.979,0.839,-0.983,-0.991,0.831,-3.834,2.085,5.919,0.136,-0.049,0.015
"269","J.B. Shuck",3000,-0.627,0.652,-0.63,-0.635,0.661,-2.594,1.756,4.35,0.136,0.059,0.012
"270","Taylor Ward",3000,-0.296,0.671,-0.308,-0.304,0.67,-2.503,2.993,5.496,0.136,0.106,0.012
"271","Gabriel Guerrero",3000,-0.426,0.678,-0.448,-0.434,0.698,-2.385,1.982,4.368,0.136,-0.12,0.012
"272","Willians Astudillo",3000,-0.431,0.679,-0.44,-0.439,0.687,-2.549,2.611,5.16,0.135,0.032,0.012
"273","Andrelton Simmons",3000,0.253,1.127,0.227,0.239,1.128,-3.201,4.756,7.957,0.135,-0.04,0.021
"274","Austin Meadows",3000,-0.393,0.67,-0.41,-0.399,0.653,-2.88,2.494,5.374,0.135,0.232,0.012
"275","Austin Slater",3000,-0.635,0.572,-0.656,-0.642,0.57,-2.448,1.628,4.076,0.135,-0.044,0.01
"276","Devon Travis",3000,-0.399,0.698,-0.418,-0.408,0.713,-2.471,1.802,4.273,0.135,-0.135,0.013
"277","Todd Frazier",3000,1.877,1.2,1.845,1.861,1.206,-1.927,6.301,8.228,0.135,-0.059,0.022
"278","Leury Garcia",3000,-1.09,0.705,-1.111,-1.098,0.701,-3.297,1.821,5.118,0.134,-0.011,0.013
"279","Ryan McMahon",3000,-0.791,0.492,-0.799,-0.798,0.483,-2.343,1.072,3.415,0.134,-0.003,0.009
"280","Mac Williamson",3000,-0.593,0.599,-0.604,-0.599,0.599,-2.484,1.838,4.322,0.134,0,0.011
"281","Melky Cabrera",3000,-0.18,1.006,-0.209,-0.193,1.006,-3.497,3.615,7.112,0.133,-0.051,0.018
"282","Nomar Mazara",3000,-0.458,1.008,-0.475,-0.467,0.993,-3.72,3.87,7.591,0.133,0.079,0.018
"283","Hernan Perez",3000,-0.691,0.765,-0.707,-0.701,0.769,-3.07,1.873,4.944,0.133,-0.037,0.014
"284","Luke Maile",3000,-0.864,0.46,-0.873,-0.87,0.448,-2.188,0.936,3.123,0.133,-0.044,0.008
"285","Nick Ahmed",3000,-0.792,0.62,-0.815,-0.801,0.621,-2.72,1.491,4.211,0.133,0.082,0.011
"286","Brandon Phillips",3000,-0.756,0.889,-0.767,-0.766,0.906,-3.289,2.253,5.542,0.133,-0.01,0.016
"287","Jesse Winker",3000,-0.55,0.701,-0.559,-0.559,0.698,-2.831,2.221,5.052,0.132,0.066,0.013
"288","Jason Heyward",3000,-0.626,0.817,-0.643,-0.635,0.823,-3.377,2.526,5.904,0.132,0.072,0.015
"289","J.T. Riddle",3000,-0.647,0.651,-0.66,-0.654,0.655,-2.818,1.796,4.614,0.132,-0.036,0.012
"290","Corey Dickerson",3000,1.538,1.144,1.511,1.523,1.159,-2.339,5.507,7.846,0.131,-0.103,0.021
"291","Nicholas Castellanos",3000,2.813,1.289,2.776,2.799,1.288,-1.097,7.942,9.039,0.131,0.065,0.024
"292","Matt Duffy",3000,-0.608,0.825,-0.628,-0.619,0.818,-3.144,2.237,5.382,0.131,-0.085,0.015
"293","Adeiny Hechavarria",3000,-0.967,0.69,-0.979,-0.976,0.659,-3.262,1.363,4.625,0.131,0.101,0.013
"294","Gregor Blanco",3000,-0.284,0.715,-0.305,-0.293,0.699,-3.017,2.311,5.328,0.131,0.152,0.013
"295","Andrew Romine",3000,-0.738,0.748,-0.756,-0.748,0.756,-3.551,2.277,5.828,0.131,0.097,0.014
"296","Trevor Story",3000,0.116,1.098,0.101,0.101,1.11,-3.337,3.93,7.266,0.13,-0.047,0.02
"297","Justin Smoak",3000,2.389,1.19,2.379,2.375,1.204,-1.434,6.699,8.133,0.13,-0.005,0.022
"298","Delino DeShields",3000,-1.618,1.041,-1.631,-1.628,1.04,-5.212,3.624,8.836,0.13,0.092,0.019
"299","Raimel Tapia",3000,-0.887,0.625,-0.894,-0.895,0.618,-2.711,1.308,4.019,0.13,-0.081,0.011
"300","Tyler Wade",3000,-0.683,0.505,-0.691,-0.69,0.495,-2.434,1.112,3.547,0.13,0.095,0.009
"301","Gift Ngoepe",3000,-0.682,0.561,-0.691,-0.688,0.554,-2.309,1.347,3.656,0.13,0.076,0.01
"302","Christian Arroyo",3000,-0.721,0.558,-0.73,-0.728,0.555,-2.568,1.239,3.807,0.129,0.04,0.01
"303","Odubel Herrera",3000,0.522,1.173,0.486,0.506,1.183,-3.384,5.02,8.404,0.129,0.035,0.021
"304","Mikie Mahtook",3000,-0.132,0.908,-0.163,-0.141,0.913,-2.669,3.195,5.864,0.129,-0.135,0.017
"305","Jose Reyes",3000,0.088,0.927,0.09,0.077,0.925,-2.604,3.583,6.186,0.129,-0.004,0.017
"306","Chance Sisco",3000,0.654,0.83,0.65,0.644,0.843,-1.809,4.317,6.125,0.129,-0.005,0.015
"307","Boog Powell",3000,-0.565,0.603,-0.573,-0.573,0.599,-2.514,1.454,3.968,0.129,-0.018,0.011
"308","Phillip Evans",3000,-0.425,0.577,-0.447,-0.434,0.59,-2.492,1.604,4.096,0.129,-0.043,0.011
"309","Phil Gosselin",3000,-0.636,0.511,-0.638,-0.643,0.507,-2.506,1.376,3.882,0.129,0.166,0.009
"310","Yairo Munoz",3000,-0.333,0.681,-0.346,-0.34,0.678,-2.88,2.84,5.72,0.128,0.23,0.012
"311","Gregory Polanco",3000,-0.354,0.718,-0.374,-0.363,0.73,-2.674,2.168,4.841,0.128,-0.114,0.013
"312","Miguel Rojas",3000,-0.525,0.673,-0.524,-0.533,0.668,-2.882,1.874,4.756,0.128,0.041,0.012
"313","Jean Segura",3000,-0.475,0.819,-0.507,-0.485,0.838,-3.178,2.692,5.87,0.127,-0.109,0.015
"314","Brian Goodwin",3000,-0.119,0.781,-0.137,-0.127,0.76,-2.731,2.519,5.25,0.127,0.049,0.014
"315","Bradley Zimmer",3000,-1.026,0.743,-1.046,-1.035,0.746,-3.289,1.726,5.015,0.127,-0.099,0.014
"316","Josh Reddick",3000,0.481,0.967,0.472,0.472,0.968,-2.44,4.049,6.489,0.126,0.055,0.018
"317","David Freitas",3000,-0.662,0.502,-0.67,-0.668,0.496,-2.367,1.126,3.493,0.126,0.257,0.009
"318","Abraham Almonte",3000,-0.527,0.699,-0.539,-0.537,0.694,-2.723,2.219,4.942,0.126,-0.048,0.013
"319","Eric Haase",3000,-0.501,0.665,-0.517,-0.509,0.653,-2.602,1.917,4.519,0.126,0.099,0.012
"320","Ronald Acuna Jr.",3000,-0.406,0.65,-0.419,-0.414,0.653,-2.46,1.948,4.409,0.125,-0.055,0.012
"321","Jose Pirela",3000,-1.056,0.673,-1.062,-1.064,0.684,-3.744,1.441,5.185,0.125,0.002,0.012
"322","Jesus Aguilar",3000,-0.872,0.601,-0.882,-0.88,0.591,-3.08,1.465,4.545,0.124,0.031,0.011
"323","Gleyber Torres",3000,-0.431,0.674,-0.457,-0.438,0.66,-3.047,2.613,5.66,0.124,0.137,0.012
"324","Kurt Suzuki",3000,-0.586,0.848,-0.606,-0.596,0.833,-3.41,2.588,5.998,0.124,0.042,0.015
"325","Adam Engel",3000,-1.117,0.717,-1.136,-1.125,0.716,-3.273,1.765,5.038,0.124,-0.056,0.013
"326","Dexter Fowler",3000,0.975,1.038,0.962,0.962,1.033,-2.374,4.707,7.081,0.124,-0.056,0.019
"327","D.J. Stewart",3000,-0.415,0.674,-0.426,-0.423,0.69,-2.669,2.037,4.706,0.123,-0.078,0.012
"328","Tim Anderson",3000,-0.569,0.973,-0.599,-0.581,0.974,-3.976,2.76,6.736,0.123,0.049,0.018
"329","Matt den Dekker",3000,-0.654,0.568,-0.678,-0.66,0.575,-2.48,1.276,3.756,0.123,-0.133,0.01
"330","Juan Lagares",3000,-0.803,0.667,-0.808,-0.811,0.673,-3.083,1.738,4.821,0.122,0.027,0.012
"331","Andrew Stevenson",3000,-0.705,0.483,-0.709,-0.709,0.489,-2.063,1.321,3.384,0.122,-0.019,0.009
"332","Cameron Maybin",3000,-0.544,0.831,-0.559,-0.553,0.837,-3.362,3.184,6.545,0.122,-0.052,0.015
"333","Tommy La Stella",3000,0.235,0.814,0.212,0.225,0.794,-2.394,3.056,5.45,0.121,0.035,0.015
"334","Kevin Pillar",3000,-0.68,0.826,-0.687,-0.691,0.837,-3.408,2.405,5.813,0.121,-0.126,0.015
"335","Guillermo Heredia",3000,-0.779,0.753,-0.795,-0.787,0.735,-3.591,2.443,6.034,0.121,0.035,0.014
"336","Chase Utley",3000,-0.35,0.831,-0.364,-0.36,0.842,-3.066,2.971,6.037,0.12,0.021,0.015
"337","Eric Sogard",3000,-0.541,0.811,-0.556,-0.548,0.806,-3.06,2.438,5.499,0.12,0.01,0.015
"338","Michael Brantley",3000,-0.548,0.736,-0.559,-0.557,0.75,-2.887,2.169,5.056,0.119,-0.012,0.013
"339","Matt Holliday",3000,-1.183,0.898,-1.205,-1.193,0.916,-4.224,2.011,6.234,0.119,-0.114,0.016
"340","Alex Gordon",3000,-0.267,1.048,-0.301,-0.279,1.035,-3.691,3.493,7.184,0.119,0.051,0.019
"341","Billy Hamilton",3000,-1.096,0.96,-1.104,-1.109,0.961,-4.035,1.979,6.014,0.119,-0.142,0.018
"342","Noel Cuevas",3000,-0.798,0.662,-0.81,-0.805,0.635,-3.049,2.115,5.164,0.119,0.124,0.012
"343","Evan Gattis",3000,-0.077,0.861,-0.089,-0.088,0.865,-2.597,2.977,5.574,0.119,-0.002,0.016
"344","Pedro Florimon",3000,-0.719,0.598,-0.728,-0.726,0.586,-2.501,1.186,3.687,0.119,-0.072,0.011
"345","Jorge Bonifacio",3000,-0.517,0.862,-0.531,-0.529,0.853,-3.88,2.77,6.649,0.119,0.055,0.016
"346","Chris Iannetta",3000,-0.955,0.843,-0.959,-0.964,0.837,-3.551,2.002,5.553,0.119,-0.143,0.015
"347","Austin Dean",3000,-0.271,0.66,-0.277,-0.278,0.673,-2.578,2.226,4.804,0.119,-0.034,0.012
"348","Chris Shaw",3000,-0.3,0.681,-0.312,-0.308,0.688,-2.63,2.714,5.344,0.119,-0.013,0.012
"349","Jordan Luplow",3000,-0.636,0.592,-0.644,-0.643,0.587,-2.497,1.377,3.874,0.119,-0.089,0.011
"350","Keon Broxton",3000,-2.35,0.759,-2.375,-2.357,0.752,-4.809,0.207,5.016,0.119,-0.004,0.014
"351","David Peralta",3000,-0.058,0.896,-0.065,-0.07,0.875,-3.001,2.812,5.813,0.118,0.033,0.016
"352","Adam Jones",3000,0.975,1.2,0.944,0.961,1.206,-2.938,5.243,8.182,0.118,-0.072,0.022
"353","Jonathan Schoop",3000,6.276,1.687,6.228,6.26,1.66,-0.011,12.705,12.716,0.118,0.095,0.031
"354","Tyler Austin",3000,-0.495,0.638,-0.503,-0.501,0.643,-2.813,1.95,4.763,0.118,-0.012,0.012
"355","Martin Maldonado",3000,-1.655,0.897,-1.659,-1.663,0.865,-4.484,1.642,6.126,0.118,0.126,0.016
"356","Austin Jackson",3000,-0.419,0.829,-0.446,-0.428,0.816,-3.607,2.501,6.107,0.117,0.139,0.015
"357","Jett Bandy",3000,3.304,1.212,3.276,3.287,1.246,-0.848,7.538,8.386,0.117,-0.072,0.022
"358","Taylor Motter",3000,-0.81,0.688,-0.816,-0.816,0.684,-2.94,2.078,5.018,0.117,0.091,0.013
"359","Mitch Garver",3000,-0.642,0.547,-0.651,-0.649,0.538,-2.657,1.343,3.999,0.116,0.1,0.01
"360","Pablo Sandoval",3000,-1.488,0.587,-1.498,-1.493,0.58,-3.576,0.822,4.398,0.116,0.051,0.011
"361","Avisail Garcia",3000,0.727,1.118,0.707,0.714,1.126,-2.929,4.888,7.817,0.116,0.06,0.02
"362","Jackie Bradley Jr.",3000,1.02,1.12,0.99,1.007,1.139,-2.755,5.214,7.969,0.116,0.038,0.02
"363","Rafael Ortega",3000,-0.817,0.71,-0.824,-0.823,0.708,-3.127,1.973,5.101,0.116,0.051,0.013
"364","Max Stassi",3000,-0.62,0.628,-0.645,-0.626,0.638,-2.684,2.306,4.99,0.116,0.058,0.011
"365","Andrew Benintendi",3000,0.231,0.985,0.224,0.222,0.981,-2.713,3.97,6.683,0.115,0.051,0.018
"366","Jose Iglesias",3000,-0.828,0.851,-0.845,-0.835,0.827,-3.429,2.274,5.703,0.115,0.006,0.016
"367","Brandon Crawford",3000,-0.047,0.982,-0.085,-0.059,0.968,-3.033,3.336,6.369,0.115,-0.009,0.018
"368","Jurickson Profar",3000,-1.075,0.648,-1.083,-1.082,0.648,-2.953,1.405,4.358,0.115,-0.033,0.012
"369","Kolten Wong",3000,-0.207,0.906,-0.234,-0.213,0.894,-3.404,3.323,6.727,0.115,0.117,0.017
"370","Rene Rivera",3000,-0.909,0.696,-0.914,-0.917,0.717,-3.408,1.782,5.19,0.115,-0.039,0.013
"371","Miguel Cabrera",3000,1.252,1.071,1.236,1.239,1.061,-2.053,5.248,7.301,0.114,-0.032,0.02
"372","Clint Frazier",3000,-0.615,0.608,-0.633,-0.623,0.601,-2.507,1.334,3.841,0.114,-0.125,0.011
"373","Dwight Smith Jr.",3000,-0.493,0.577,-0.503,-0.5,0.579,-2.36,1.679,4.039,0.114,-0.02,0.011
"374","Ronald Guzman",3000,-0.594,0.662,-0.615,-0.601,0.649,-2.65,2.335,4.985,0.114,0.074,0.012
"375","Alex Blandino",3000,-0.391,0.676,-0.417,-0.4,0.665,-2.728,2.467,5.196,0.114,0.235,0.012
"376","Jeimer Candelario",3000,-0.713,0.617,-0.734,-0.721,0.615,-2.816,1.638,4.454,0.114,0.023,0.011
"377","Daniel Castro",3000,-1.172,0.577,-1.184,-1.178,0.565,-3.375,1.261,4.636,0.114,0.12,0.011
"378","Reese McGuire",3000,-0.423,0.658,-0.425,-0.428,0.651,-2.556,2.475,5.031,0.113,0.17,0.012
"379","Miguel Gomez",3000,-0.566,0.505,-0.576,-0.572,0.509,-2.084,1.2,3.284,0.113,-0.096,0.009
"380","Garrett Cooper",3000,-0.309,0.645,-0.314,-0.317,0.639,-2.529,1.886,4.414,0.113,-0.154,0.012
"381","Adolis Garcia",3000,-0.287,0.681,-0.283,-0.294,0.693,-2.422,2.744,5.165,0.113,0.021,0.012
"382","Richard Urena",3000,-0.626,0.547,-0.645,-0.634,0.536,-2.525,1.26,3.785,0.112,-0.075,0.01
"383","Eugenio Suarez",3000,0.268,1.082,0.231,0.257,1.054,-3.039,4.371,7.41,0.112,0.025,0.02
